"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 01 10:11:09 UTC 2026","Fri May 01 10:11:09 UTC 2026","13","tests","User Management","User Table","","","TC-UM-005: At least one user record is displayed",""
"passed","Fri May 01 10:11:30 UTC 2026","Fri May 01 10:11:35 UTC 2026","4842","tests","User Management","Filters","","","TC-UM-011: Filter producing no results → no-data message",""
"passed","Fri May 01 10:09:35 UTC 2026","Fri May 01 10:09:35 UTC 2026","91","tests","Login","Validation","","","TC-LOGIN-012: Keyboard navigation and Tab support",""
"passed","Fri May 01 10:08:22 UTC 2026","Fri May 01 10:08:26 UTC 2026","3558","tests","Login","Positive","","","test_valid_login_redirects_to_dashboard[chromium]",""
"passed","Fri May 01 10:10:55 UTC 2026","Fri May 01 10:10:55 UTC 2026","7","tests","User Management","User Table","","","TC-UM-003: User table is visible",""
"passed","Fri May 01 10:08:42 UTC 2026","Fri May 01 10:08:50 UTC 2026","8208","tests","Login","Negative","","","TC-LOGIN-003: Valid email + wrong password → error message",""
"passed","Fri May 01 10:10:38 UTC 2026","Fri May 01 10:10:42 UTC 2026","3533","tests","User Management","Navigation","","","TC-UM-001: Navigate to User Management from sidebar",""
"passed","Fri May 01 10:10:04 UTC 2026","Fri May 01 10:10:04 UTC 2026","16","tests","Login","Accessibility","","","TC-LOGIN-019: Page meta description present",""
"passed","Fri May 01 10:09:47 UTC 2026","Fri May 01 10:09:47 UTC 2026","149","tests","Login","Edge Cases","","","TC-LOGIN-015: Email whitespace trimming works",""
"passed","Fri May 01 10:08:53 UTC 2026","Fri May 01 10:08:59 UTC 2026","6163","tests","Login","Validation","","","TC-LOGIN-004: Empty email → validation error",""
"passed","Fri May 01 10:10:14 UTC 2026","Fri May 01 10:10:15 UTC 2026","1366","tests","Login","Session","","","TC-LOGIN-021: Login via Enter key on password field",""
"passed","Fri May 01 10:10:01 UTC 2026","Fri May 01 10:10:01 UTC 2026","24","tests","Login","Accessibility","","","TC-LOGIN-018: Form labels properly associated with inputs",""
"skipped","Fri May 01 10:09:31 UTC 2026","Fri May 01 10:09:32 UTC 2026","1064","tests","Login","Validation","","","TC-LOGIN-011: Password visibility toggle works",""
"failed","Fri May 01 10:10:08 UTC 2026","Fri May 01 10:10:09 UTC 2026","1693","tests","Login","Accessibility","","","TC-LOGIN-020: No sensitive data in localStorage/sessionStorage",""
"passed","Fri May 01 10:11:16 UTC 2026","Fri May 01 10:11:16 UTC 2026","292","tests","User Management","User Table","","","TC-UM-033: Table data completeness — all rows have name, email, status, location",""
"passed","Fri May 01 10:11:42 UTC 2026","Fri May 01 10:11:44 UTC 2026","2774","tests","User Management","Filters","","","TC-UM-023: Status filter 'Active' → only Active users shown",""
"passed","Fri May 01 10:09:27 UTC 2026","Fri May 01 10:09:29 UTC 2026","1178","tests","Login","Validation","","","TC-LOGIN-010: Email format validation in real-time",""
"passed","Fri May 01 10:09:16 UTC 2026","Fri May 01 10:09:19 UTC 2026","3250","tests","Login","Security","","","TC-LOGIN-008: SQL injection in email → no crash",""
"passed","Fri May 01 10:09:42 UTC 2026","Fri May 01 10:09:44 UTC 2026","2252","tests","Login","Edge Cases","","","TC-LOGIN-014: Special characters in password accepted",""
"passed","Fri May 01 10:09:12 UTC 2026","Fri May 01 10:09:12 UTC 2026","38","tests","Login","UI Elements","","","TC-LOGIN-007: Login page elements are visible",""
"passed","Fri May 01 10:10:25 UTC 2026","Fri May 01 10:10:34 UTC 2026","8830","tests","Login","Session","","","TC-LOGIN-023: Logout redirects back to login page",""
"skipped","Fri May 01 10:12:00 UTC 2026","Fri May 01 10:12:00 UTC 2026","0","tests","User Management","Filters","","","TC-UM-026: Location filter → each available option → valid results",""
"passed","Fri May 01 10:09:38 UTC 2026","Fri May 01 10:09:39 UTC 2026","1097","tests","Login","Validation","","","TC-LOGIN-013: Form validation clears on user input",""
"passed","Fri May 01 10:11:00 UTC 2026","Fri May 01 10:11:02 UTC 2026","2387","tests","User Management","User Table","","","TC-UM-004: Table has expected columns",""
