"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 01 09:41:38 UTC 2026","Fri May 01 09:41:45 UTC 2026","6789","tests","User Management","Filters","","","TC-UM-029: Status filter 'All' → full user list shown",""
"passed","Fri May 01 09:47:03 UTC 2026","Fri May 01 09:47:16 UTC 2026","13378","tests","User Management","Bug Regression","","","TC-UM-051: Location filter returns results for full address and country abbreviations",""
"passed","Fri May 01 09:45:30 UTC 2026","Fri May 01 09:45:30 UTC 2026","11","tests","User Management","Pagination","","","TC-UM-034: Pagination is visible on User Management page",""
"passed","Fri May 01 09:38:26 UTC 2026","Fri May 01 09:38:26 UTC 2026","59","tests","Login","Validation","","","TC-LOGIN-012: Keyboard navigation and Tab support",""
"passed","Fri May 01 09:37:56 UTC 2026","Fri May 01 09:37:57 UTC 2026","1119","tests","Login","Validation","","","TC-LOGIN-005: Empty password → validation error",""
"passed","Fri May 01 09:39:41 UTC 2026","Fri May 01 09:39:41 UTC 2026","6","tests","User Management","User Table","","","TC-UM-003: User table is visible",""
"passed","Fri May 01 09:38:32 UTC 2026","Fri May 01 09:38:34 UTC 2026","2213","tests","Login","Edge Cases","","","TC-LOGIN-014: Special characters in password accepted",""
"passed","Fri May 01 09:38:40 UTC 2026","Fri May 01 09:38:42 UTC 2026","2109","tests","Login","Edge Cases","","","TC-LOGIN-016: Very long email address accepted",""
"passed","Fri May 01 09:39:49 UTC 2026","Fri May 01 09:39:49 UTC 2026","41","tests","User Management","User Table","","","TC-UM-004: Table has expected columns",""
"passed","Fri May 01 09:37:45 UTC 2026","Fri May 01 09:37:51 UTC 2026","6163","tests","Login","Validation","","","TC-LOGIN-004: Empty email → validation error",""
"passed","Fri May 01 09:42:14 UTC 2026","Fri May 01 09:42:18 UTC 2026","3625","tests","User Management","Search","","","TC-UM-013: Search by name → matching results",""
"passed","Fri May 01 09:41:24 UTC 2026","Fri May 01 09:41:32 UTC 2026","7467","tests","User Management","Filters","","","TC-UM-028: Clear All button → resets all filters → full list restored",""
"passed","Fri May 01 09:42:24 UTC 2026","Fri May 01 09:42:27 UTC 2026","2975","tests","User Management","Search","","","TC-UM-014: Search by email → matching results",""
"passed","Fri May 01 09:40:09 UTC 2026","Fri May 01 09:40:13 UTC 2026","3376","tests","User Management","Filters","","","TC-UM-010: Combined filters → filtered results",""
"passed","Fri May 01 09:38:37 UTC 2026","Fri May 01 09:38:37 UTC 2026","92","tests","Login","Edge Cases","","","TC-LOGIN-015: Email whitespace trimming works",""
"skipped","Fri May 01 09:42:56 UTC 2026","Fri May 01 09:43:01 UTC 2026","5035","tests","User Management","Search","","","TC-UM-032: Search by user ID → matching results",""
"skipped","Fri May 01 09:38:22 UTC 2026","Fri May 01 09:38:23 UTC 2026","1092","tests","Login","Validation","","","TC-LOGIN-011: Password visibility toggle works",""
"passed","Fri May 01 09:45:37 UTC 2026","Fri May 01 09:45:39 UTC 2026","2390","tests","User Management","Pagination","","","TC-UM-035: Pagination next page navigation works",""
"passed","Fri May 01 09:37:33 UTC 2026","Fri May 01 09:37:42 UTC 2026","8231","tests","Login","Negative","","","TC-LOGIN-003: Valid email + wrong password → error message",""
"passed","Fri May 01 09:46:42 UTC 2026","Fri May 01 09:46:43 UTC 2026","1138","tests","User Management","Bug Regression","","","TC-UM-049: Filter section is properly aligned and responsive at 1280px and 1024px",""
"skipped","Fri May 01 09:46:06 UTC 2026","Fri May 01 09:46:09 UTC 2026","3186","tests","User Management","Bug Regression","","","TC-UM-045: No member count or pagination shown when filter returns no results",""
"passed","Fri May 01 09:43:29 UTC 2026","Fri May 01 09:43:33 UTC 2026","3525","tests","User Management","User Detail","","","TC-UM-038: Detail page email matches list row data",""
"passed","Fri May 01 09:46:24 UTC 2026","Fri May 01 09:46:24 UTC 2026","5","tests","User Management","Bug Regression","","","TC-UM-047: Page subtitle is user-friendly, not 'Centralized moderation and content management system'",""
"passed","Fri May 01 09:38:18 UTC 2026","Fri May 01 09:38:19 UTC 2026","1144","tests","Login","Validation","","","TC-LOGIN-010: Email format validation in real-time",""
"passed","Fri May 01 09:38:59 UTC 2026","Fri May 01 09:39:00 UTC 2026","1347","tests","Login","Session","","","TC-LOGIN-021: Login via Enter key on password field",""
"passed","Fri May 01 09:44:15 UTC 2026","Fri May 01 09:44:22 UTC 2026","7060","tests","User Management","User Detail","","","TC-UM-042: Back from detail navigates to user list",""
"passed","Fri May 01 09:43:39 UTC 2026","Fri May 01 09:43:44 UTC 2026","5031","tests","User Management","User Detail","","","TC-UM-039: Detail page status matches list row data",""
"passed","Fri May 01 09:40:20 UTC 2026","Fri May 01 09:40:23 UTC 2026","3818","tests","User Management","Filters","","","TC-UM-011: Filter producing no results → no-data message",""
"passed","Fri May 01 09:40:56 UTC 2026","Fri May 01 09:41:18 UTC 2026","21133","tests","User Management","Filters","","","TC-UM-027: Dating Mode filter → each available option → valid results",""
"passed","Fri May 01 09:39:34 UTC 2026","Fri May 01 09:39:34 UTC 2026","5","tests","User Management","Navigation","","","TC-UM-002: Page heading is visible",""
"passed","Fri May 01 09:45:16 UTC 2026","Fri May 01 09:45:24 UTC 2026","7429","tests","User Management","Edge Cases","","","TC-UM-022: Rapid filter switching → stable",""
"passed","Fri May 01 09:38:06 UTC 2026","Fri May 01 09:38:09 UTC 2026","3221","tests","Login","Security","","","TC-LOGIN-008: SQL injection in email → no crash",""
"failed","Fri May 01 09:47:16 UTC 2026","Fri May 01 09:47:16 UTC 2026","0","tests","User Management","Bug Regression","","","TC-UM-052: Dating Mode options show 'Active'/'Inactive', not 'Dating Mode Active'/'Dating Mode Inactive'",""
"passed","Fri May 01 09:38:03 UTC 2026","Fri May 01 09:38:03 UTC 2026","71","tests","Login","UI Elements","","","TC-LOGIN-007: Login page elements are visible",""
"passed","Fri May 01 09:44:44 UTC 2026","Fri May 01 09:45:00 UTC 2026","15889","tests","User Management","Edge Cases","","","TC-UM-020: Special characters in search → no crash",""
"passed","Fri May 01 09:44:30 UTC 2026","Fri May 01 09:44:37 UTC 2026","6936","tests","User Management","User Detail","","","TC-UM-043: Different users show different detail content",""
"passed","Fri May 01 09:43:19 UTC 2026","Fri May 01 09:43:22 UTC 2026","3595","tests","User Management","User Detail","","","TC-UM-037: Detail page name matches list row data",""
"passed","Fri May 01 09:37:22 UTC 2026","Fri May 01 09:37:30 UTC 2026","8223","tests","Login","Negative","","","TC-LOGIN-002: Invalid email → error message",""
"passed","Fri May 01 09:43:49 UTC 2026","Fri May 01 09:43:55 UTC 2026","5854","tests","User Management","User Detail","","","TC-UM-040: Detail page URL changes from list URL",""
"passed","Fri May 01 09:39:24 UTC 2026","Fri May 01 09:39:27 UTC 2026","3531","tests","User Management","Navigation","","","TC-UM-001: Navigate to User Management from sidebar",""
"failed","Fri May 01 09:46:31 UTC 2026","Fri May 01 09:46:34 UTC 2026","2809","tests","User Management","Bug Regression","","","TC-UM-048: 'Clear All' NOT shown when searching by name/ID/email; cancel icon shown instead",""
"passed","Fri May 01 09:38:56 UTC 2026","Fri May 01 09:38:56 UTC 2026","20","tests","Login","Accessibility","","","TC-LOGIN-020: No sensitive data in localStorage/sessionStorage",""
"passed","Fri May 01 09:38:13 UTC 2026","Fri May 01 09:38:15 UTC 2026","2194","tests","Login","Security","","","TC-LOGIN-009: XSS in email → sanitized",""
"passed","Fri May 01 09:39:56 UTC 2026","Fri May 01 09:39:56 UTC 2026","9","tests","User Management","User Table","","","TC-UM-005: At least one user record is displayed",""
"passed","Fri May 01 09:44:01 UTC 2026","Fri May 01 09:44:05 UTC 2026","3518","tests","User Management","User Detail","","","TC-UM-041: Admin action buttons visible on user detail page",""
"passed","Fri May 01 09:38:53 UTC 2026","Fri May 01 09:38:53 UTC 2026","14","tests","Login","Accessibility","","","TC-LOGIN-019: Page meta description present",""
"failed","Fri May 01 09:45:56 UTC 2026","Fri May 01 09:45:56 UTC 2026","11","tests","User Management","Bug Regression","","","TC-UM-044: Filter dropdown triggers show pointer cursor on hover",""
"passed","Fri May 01 09:43:07 UTC 2026","Fri May 01 09:43:12 UTC 2026","5046","tests","User Management","User Detail","","","TC-UM-018: Detail page shows user info (name + email in detail container)",""
"passed","Fri May 01 09:38:50 UTC 2026","Fri May 01 09:38:50 UTC 2026","21","tests","Login","Accessibility","","","TC-LOGIN-018: Form labels properly associated with inputs",""
"passed","Fri May 01 09:45:06 UTC 2026","Fri May 01 09:45:10 UTC 2026","3637","tests","User Management","Edge Cases","","","TC-UM-021: Very long search string → no crash",""
"passed","Fri May 01 09:45:45 UTC 2026","Fri May 01 09:45:50 UTC 2026","4169","tests","User Management","Pagination","","","TC-UM-036: Pagination previous page navigation works",""
"passed","Fri May 01 09:37:59 UTC 2026","Fri May 01 09:38:00 UTC 2026","1073","tests","Login","Validation","","","TC-LOGIN-006: Both fields empty → validation error",""
"passed","Fri May 01 09:39:04 UTC 2026","Fri May 01 09:39:08 UTC 2026","4479","tests","Login","Session","","","TC-LOGIN-022: Session persists after page refresh",""
"passed","Fri May 01 09:41:51 UTC 2026","Fri May 01 09:41:54 UTC 2026","3341","tests","User Management","Filters","","","TC-UM-030: Dating Mode filter 'Active' → only Active dating mode users",""
"passed","Fri May 01 09:42:45 UTC 2026","Fri May 01 09:42:49 UTC 2026","4362","tests","User Management","Search","","","TC-UM-016: Clear search → full list restored",""
"passed","Fri May 01 09:46:50 UTC 2026","Fri May 01 09:46:55 UTC 2026","5568","tests","User Management","Bug Regression","","","TC-UM-050: No internal server error on pagination navigation or page refresh",""
"passed","Fri May 01 09:40:30 UTC 2026","Fri May 01 09:40:33 UTC 2026","3409","tests","User Management","Filters","","","TC-UM-023: Status filter 'Active' → only Active users shown",""
