"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 01 10:33:17 UTC 2026","Fri May 01 10:33:19 UTC 2026","2250","tests","Login","Security","","","TC-LOGIN-009: XSS in email → sanitized",""
"passed","Fri May 01 10:33:42 UTC 2026","Fri May 01 10:33:44 UTC 2026","2290","tests","Login","Edge Cases","","","TC-LOGIN-014: Special characters in password accepted",""
"passed","Fri May 01 10:33:38 UTC 2026","Fri May 01 10:33:38 UTC 2026","97","tests","Login","Validation","","","TC-LOGIN-012: Keyboard navigation and Tab support",""
"passed","Fri May 01 10:33:07 UTC 2026","Fri May 01 10:33:07 UTC 2026","55","tests","Login","UI Elements","","","TC-LOGIN-007: Login page elements are visible",""
"passed","Fri May 01 10:32:48 UTC 2026","Fri May 01 10:32:54 UTC 2026","6166","tests","Login","Validation","","","TC-LOGIN-004: Empty email → validation error",""
"passed","Fri May 01 10:34:20 UTC 2026","Fri May 01 10:34:21 UTC 2026","1603","tests","Login","Session","","","TC-LOGIN-021: Login via Enter key on password field",""
"passed","Fri May 01 10:34:03 UTC 2026","Fri May 01 10:34:10 UTC 2026","7266","tests","Login","Edge Cases","","","TC-LOGIN-017: Uppercase email handled correctly",""
"passed","Fri May 01 10:33:50 UTC 2026","Fri May 01 10:33:58 UTC 2026","7188","tests","Login","Edge Cases","","","TC-LOGIN-016: Very long email address accepted",""
"passed","Fri May 01 10:34:43 UTC 2026","Fri May 01 10:34:47 UTC 2026","4530","tests","User Management","Navigation","","","TC-UM-001: Navigate to User Management from sidebar",""
"passed","Fri May 01 10:33:10 UTC 2026","Fri May 01 10:33:13 UTC 2026","3246","tests","Login","Security","","","TC-LOGIN-008: SQL injection in email → no crash",""
"passed","Fri May 01 10:34:54 UTC 2026","Fri May 01 10:34:54 UTC 2026","7","tests","User Management","Navigation","","","TC-UM-002: Page heading is visible",""
"failed","Fri May 01 10:34:13 UTC 2026","Fri May 01 10:34:15 UTC 2026","1303","tests","Login","Security","","","TC-LOGIN-020: No sensitive data in localStorage/sessionStorage",""
"passed","Fri May 01 10:35:05 UTC 2026","Fri May 01 10:35:05 UTC 2026","7","tests","User Management","User Table","","","TC-UM-003: User table is visible",""
"passed","Fri May 01 10:32:59 UTC 2026","Fri May 01 10:33:00 UTC 2026","1161","tests","Login","Validation","","","TC-LOGIN-005: Empty password → validation error",""
"passed","Fri May 01 10:33:03 UTC 2026","Fri May 01 10:33:04 UTC 2026","1087","tests","Login","Validation","","","TC-LOGIN-006: Both fields empty → validation error",""
"passed","Fri May 01 10:34:30 UTC 2026","Fri May 01 10:34:39 UTC 2026","8215","tests","Login","Session","","","TC-LOGIN-023: Logout redirects back to login page",""
"passed","Fri May 01 10:35:12 UTC 2026","Fri May 01 10:35:12 UTC 2026","35","tests","User Management","User Table","","","TC-UM-004: Table has expected columns",""
"passed","Fri May 01 10:34:25 UTC 2026","Fri May 01 10:34:27 UTC 2026","2403","tests","Login","Session","","","TC-LOGIN-022: Session persists after page refresh",""
"failed","Fri May 01 10:32:34 UTC 2026","Fri May 01 10:32:43 UTC 2026","8237","tests","Login","Negative","","","TC-LOGIN-003: Valid email + wrong password → error message",""
"passed","Fri May 01 10:33:47 UTC 2026","Fri May 01 10:33:47 UTC 2026","92","tests","Login","Edge Cases","","","TC-LOGIN-015: Email whitespace trimming works",""
"skipped","Fri May 01 10:33:34 UTC 2026","Fri May 01 10:33:35 UTC 2026","1073","tests","Login","Validation","","","TC-LOGIN-011: Password visibility toggle works",""
"passed","Fri May 01 10:32:16 UTC 2026","Fri May 01 10:32:17 UTC 2026","1378","tests","Login","Positive","","","test_valid_login_redirects_to_dashboard[chromium]",""
"broken","Fri May 01 10:33:22 UTC 2026","Fri May 01 10:33:29 UTC 2026","6189","tests","Login","Validation","","","TC-LOGIN-010: Email format validation in real-time",""
"failed","Fri May 01 10:32:20 UTC 2026","Fri May 01 10:32:29 UTC 2026","8275","tests","Login","Negative","","","TC-LOGIN-002: Invalid email → error message",""
