"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 01 10:23:48 UTC 2026","Fri May 01 10:23:49 UTC 2026","1470","tests","Login","Session","","","TC-LOGIN-021: Login via Enter key on password field",""
"skipped","Fri May 01 10:27:45 UTC 2026","Fri May 01 10:27:50 UTC 2026","5229","tests","User Management","Search","","","TC-UM-032: Search by user ID → matching results",""
"passed","Fri May 01 10:30:40 UTC 2026","Fri May 01 10:30:45 UTC 2026","4556","tests","User Management","Pagination","","","TC-UM-036: Pagination previous page navigation works",""
"passed","Fri May 01 10:24:11 UTC 2026","Fri May 01 10:24:11 UTC 2026","430","tests","User Management","Navigation","","","TC-UM-001: Navigate to User Management from sidebar",""
"passed","Fri May 01 10:29:33 UTC 2026","Fri May 01 10:29:49 UTC 2026","16222","tests","User Management","Edge Cases","","","TC-UM-020: Special characters in search → no crash",""
"passed","Fri May 01 10:29:04 UTC 2026","Fri May 01 10:29:13 UTC 2026","8201","tests","User Management","User Detail","","","TC-UM-042: Back from detail navigates to user list",""
"passed","Fri May 01 10:22:52 UTC 2026","Fri May 01 10:22:55 UTC 2026","3238","tests","Login","Security","","","TC-LOGIN-008: SQL injection in email → no crash",""
"passed","Fri May 01 10:24:37 UTC 2026","Fri May 01 10:24:40 UTC 2026","2870","tests","User Management","User Table","","","TC-UM-005: At least one user record is displayed",""
"passed","Fri May 01 10:22:00 UTC 2026","Fri May 01 10:22:04 UTC 2026","3692","tests","Login","Positive","","","test_valid_login_redirects_to_dashboard[chromium]",""
"passed","Fri May 01 10:25:26 UTC 2026","Fri May 01 10:25:29 UTC 2026","3763","tests","User Management","Filters","","","TC-UM-025: Status filter 'Suspended' → only Suspended users shown",""
"passed","Fri May 01 10:23:18 UTC 2026","Fri May 01 10:23:20 UTC 2026","2231","tests","Login","Edge Cases","","","TC-LOGIN-014: Special characters in password accepted",""
"passed","Fri May 01 10:23:53 UTC 2026","Fri May 01 10:23:55 UTC 2026","2473","tests","Login","Session","","","TC-LOGIN-022: Session persists after page refresh",""
"passed","Fri May 01 10:22:45 UTC 2026","Fri May 01 10:22:46 UTC 2026","1087","tests","Login","Validation","","","TC-LOGIN-006: Both fields empty → validation error",""
"passed","Fri May 01 10:24:55 UTC 2026","Fri May 01 10:24:58 UTC 2026","3542","tests","User Management","Filters","","","TC-UM-010: Combined filters → filtered results",""
"passed","Fri May 01 10:23:25 UTC 2026","Fri May 01 10:23:28 UTC 2026","2172","tests","Login","Edge Cases","","","TC-LOGIN-016: Very long email address accepted",""
"passed","Fri May 01 10:28:54 UTC 2026","Fri May 01 10:28:58 UTC 2026","4648","tests","User Management","User Detail","","","TC-UM-041: Admin action buttons visible on user detail page",""
"passed","Fri May 01 10:24:33 UTC 2026","Fri May 01 10:24:33 UTC 2026","29","tests","User Management","User Table","","","TC-UM-004: Table has expected columns",""
"passed","Fri May 01 10:24:20 UTC 2026","Fri May 01 10:24:20 UTC 2026","6","tests","User Management","Navigation","","","TC-UM-002: Page heading is visible",""
"passed","Fri May 01 10:23:22 UTC 2026","Fri May 01 10:23:23 UTC 2026","72","tests","Login","Edge Cases","","","TC-LOGIN-015: Email whitespace trimming works",""
"passed","Fri May 01 10:27:57 UTC 2026","Fri May 01 10:28:01 UTC 2026","3579","tests","User Management","User Detail","","","TC-UM-018: Detail page shows user info (name + email in detail container)",""
"failed","Fri May 01 10:30:52 UTC 2026","Fri May 01 10:30:52 UTC 2026","15","tests","User Management","Bug Regression","","","TC-UM-044: Filter dropdown triggers show pointer cursor on hover",""
"passed","Fri May 01 10:28:43 UTC 2026","Fri May 01 10:28:47 UTC 2026","3599","tests","User Management","User Detail","","","TC-UM-040: Detail page URL changes from list URL",""
"passed","Fri May 01 10:24:26 UTC 2026","Fri May 01 10:24:26 UTC 2026","11","tests","User Management","User Table","","","TC-UM-003: User table is visible",""
"passed","Fri May 01 10:29:19 UTC 2026","Fri May 01 10:29:26 UTC 2026","6533","tests","User Management","User Detail","","","TC-UM-043: Different users show different detail content",""
"passed","Fri May 01 10:30:09 UTC 2026","Fri May 01 10:30:17 UTC 2026","8080","tests","User Management","Edge Cases","","","TC-UM-022: Rapid filter switching → stable",""
"passed","Fri May 01 10:28:22 UTC 2026","Fri May 01 10:28:27 UTC 2026","5084","tests","User Management","User Detail","","","TC-UM-038: Detail page email matches list row data",""
"passed","Fri May 01 10:23:03 UTC 2026","Fri May 01 10:23:05 UTC 2026","1169","tests","Login","Validation","","","TC-LOGIN-010: Email format validation in real-time",""
"passed","Fri May 01 10:27:11 UTC 2026","Fri May 01 10:27:14 UTC 2026","3155","tests","User Management","Search","","","TC-UM-014: Search by email → matching results",""
"passed","Fri May 01 10:28:09 UTC 2026","Fri May 01 10:28:14 UTC 2026","5071","tests","User Management","User Detail","","","TC-UM-037: Detail page name matches list row data",""
"passed","Fri May 01 10:22:49 UTC 2026","Fri May 01 10:22:49 UTC 2026","45","tests","Login","UI Elements","","","TC-LOGIN-007: Login page elements are visible",""
"skipped","Fri May 01 10:23:07 UTC 2026","Fri May 01 10:23:08 UTC 2026","1102","tests","Login","Validation","","","TC-LOGIN-011: Password visibility toggle works",""
"passed","Fri May 01 10:30:24 UTC 2026","Fri May 01 10:30:24 UTC 2026","21","tests","User Management","Pagination","","","TC-UM-034: Pagination is visible on User Management page",""
"passed","Fri May 01 10:22:08 UTC 2026","Fri May 01 10:22:16 UTC 2026","8250","tests","Login","Negative","","","TC-LOGIN-002: Invalid email → error message",""
"passed","Fri May 01 10:25:42 UTC 2026","Fri May 01 10:26:04 UTC 2026","21549","tests","User Management","Filters","","","TC-UM-027: Dating Mode filter → each available option → valid results",""
"passed","Fri May 01 10:26:49 UTC 2026","Fri May 01 10:26:52 UTC 2026","3396","tests","User Management","Filters","","","TC-UM-031: Dating Mode filter 'Inactive' → only Inactive dating mode users",""
"passed","Fri May 01 10:26:11 UTC 2026","Fri May 01 10:26:18 UTC 2026","7640","tests","User Management","Filters","","","TC-UM-028: Clear All button → resets all filters → full list restored",""
"passed","Fri May 01 10:23:58 UTC 2026","Fri May 01 10:24:07 UTC 2026","8583","tests","Login","Session","","","TC-LOGIN-023: Logout redirects back to login page",""
"passed","Fri May 01 10:23:30 UTC 2026","Fri May 01 10:23:33 UTC 2026","2244","tests","Login","Edge Cases","","","TC-LOGIN-017: Uppercase email handled correctly",""
"passed","Fri May 01 10:30:31 UTC 2026","Fri May 01 10:30:34 UTC 2026","2630","tests","User Management","Pagination","","","TC-UM-035: Pagination next page navigation works",""
"passed","Fri May 01 10:26:59 UTC 2026","Fri May 01 10:27:02 UTC 2026","3365","tests","User Management","Search","","","TC-UM-013: Search by name → matching results",""
"passed","Fri May 01 10:22:58 UTC 2026","Fri May 01 10:23:01 UTC 2026","2241","tests","Login","Security","","","TC-LOGIN-009: XSS in email → sanitized",""
"passed","Fri May 01 10:22:31 UTC 2026","Fri May 01 10:22:37 UTC 2026","6168","tests","Login","Validation","","","TC-LOGIN-004: Empty email → validation error",""
"passed","Fri May 01 10:23:35 UTC 2026","Fri May 01 10:23:35 UTC 2026","36","tests","Login","Accessibility","","","TC-LOGIN-018: Form labels properly associated with inputs",""
"passed","Fri May 01 10:28:33 UTC 2026","Fri May 01 10:28:37 UTC 2026","3646","tests","User Management","User Detail","","","TC-UM-039: Detail page status matches list row data",""
"passed","Fri May 01 10:22:41 UTC 2026","Fri May 01 10:22:43 UTC 2026","1187","tests","Login","Validation","","","TC-LOGIN-005: Empty password → validation error",""
"passed","Fri May 01 10:25:05 UTC 2026","Fri May 01 10:25:09 UTC 2026","3844","tests","User Management","Filters","","","TC-UM-011: Filter producing no results → no-data message",""
"passed","Fri May 01 10:29:58 UTC 2026","Fri May 01 10:30:02 UTC 2026","3661","tests","User Management","Edge Cases","","","TC-UM-021: Very long search string → no crash",""
"failed","Fri May 01 10:23:42 UTC 2026","Fri May 01 10:23:44 UTC 2026","1778","tests","Login","Accessibility","","","TC-LOGIN-020: No sensitive data in localStorage/sessionStorage",""
"passed","Fri May 01 10:26:25 UTC 2026","Fri May 01 10:26:32 UTC 2026","7613","tests","User Management","Filters","","","TC-UM-029: Status filter 'All' → full user list shown",""
"passed","Fri May 01 10:23:11 UTC 2026","Fri May 01 10:23:11 UTC 2026","98","tests","Login","Validation","","","TC-LOGIN-012: Keyboard navigation and Tab support",""
"passed","Fri May 01 10:25:15 UTC 2026","Fri May 01 10:25:19 UTC 2026","3270","tests","User Management","Filters","","","TC-UM-023: Status filter 'Active' → only Active users shown",""
"skipped","Fri May 01 10:25:36 UTC 2026","Fri May 01 10:25:36 UTC 2026","0","tests","User Management","Filters","","","TC-UM-026: Location filter → each available option → valid results",""
"passed","Fri May 01 10:26:39 UTC 2026","Fri May 01 10:26:42 UTC 2026","3218","tests","User Management","Filters","","","TC-UM-030: Dating Mode filter 'Active' → only Active dating mode users",""
"failed","Fri May 01 10:27:23 UTC 2026","Fri May 01 10:27:24 UTC 2026","1560","tests","User Management","Search","","","TC-UM-015: Search with no match → no-data message",""
"passed","Fri May 01 10:22:19 UTC 2026","Fri May 01 10:22:27 UTC 2026","8254","tests","Login","Negative","","","TC-LOGIN-003: Valid email + wrong password → error message",""
"passed","Fri May 01 10:23:14 UTC 2026","Fri May 01 10:23:15 UTC 2026","1121","tests","Login","Validation","","","TC-LOGIN-013: Form validation clears on user input",""
"failed","Fri May 01 10:23:38 UTC 2026","Fri May 01 10:23:38 UTC 2026","15","tests","Login","Accessibility","","","TC-LOGIN-019: Page meta description present",""
"passed","Fri May 01 10:27:31 UTC 2026","Fri May 01 10:27:37 UTC 2026","6454","tests","User Management","Search","","","TC-UM-016: Clear search → full list restored",""
"passed","Fri May 01 10:24:48 UTC 2026","Fri May 01 10:24:48 UTC 2026","321","tests","User Management","User Table","","","TC-UM-033: Table data completeness — all rows have name, email, status, location",""
